distance,id,fullName,degree
2.090308951676789,8471266,David Booth,205
2.1526274095590177,8471767,Blair Jones,150
2.518088196461579,8469593,Jussi Timonen,34
2.2714549775547925,8467905,Michael Ryan,63
2.042777924478479,8471678,Benoit Pouliot,278
2.1433852653815686,8472394,Peter Harrold,130
2.177449168207024,8470794,Joe Pavelski,138
2.475574333245313,8471526,Michael Wall,22
2.6223923950356482,8470343,Jesse Schultz,18
2.538949036176393,8470264,Barry Brust,25
2.214153683654608,8470623,Shawn Belle,89
2.0844996039081067,8471339,Ryan Callahan,180
2.199630314232902,8471403,Karri Ramo,123
2.0789543174016374,8471269,Nicklas Grossmann,204
2.3195141272775284,8468548,Joel Lundqvist,56
2.5843675732770004,8469546,Danny Bois,18
2.020596778452601,8471260,Blake Comeau,276
2.277792447847901,8470061,Derek Meech,73
2.087140216530235,8472368,Chris Conner,170
2.139688407710589,8471284,Andrej Sekera,189
2.302350145233694,8470636,Josh Hennessy,61
2.3522577237919196,8471230,Marek Schwarz,40
2.550039609189332,8469557,Tomi Maki,18
2.6427251122260365,8471444,Martin Houle,19
2.109321362556113,8468208,Joel Ward,185
2.1296540797465013,8470018,Matt Ellis,148
2.1296540797465013,8470667,Clarke MacArthur,173
2.0987589120676,8470655,David Backes,176
2.1008714021653025,8469664,David Moss,161
2.1711116979139162,8471240,Jeff Schultz,114
2.136519672564035,8470232,Kris Newbury,134
2.073144969632955,8471426,Troy Brouwer,218
2.088988645365725,8467478,Kent Huskins,167
2.6126221283337734,8472375,Jamie Hunt,17
2.205703723263797,8471879,Kyle Cumiskey,91
2.0908370742012146,8470310,Aaron Rome,159
2.1449696329548456,8470283,Tim Brent,139
2.155268022181146,8471748,Mark Fraser,155
2.0990229733298125,8471362,Mikhail Grabovski,192
2.1019276472141537,8470144,Frans Nielsen,194
2.1301822022709267,8470662,Colin Fraser,143
2.507261684710853,8468036,Bjorn Melin,19
2.3002376551359918,8470631,Kamil Kreps,66
2.560602059677845,8471765,Jonathan Sigalet,18
2.0844996039081067,8470104,Tom Gilbert,237
2.1357274887773965,8472382,Andy Greene,170
2.5983628201742803,8470534,Yutaka Fukufuji,20
2.06337470293108,8471185,Curtis Glencross,216
2.1167150778980726,8467428,Krys Barch,170
2.0850277264325325,8470317,Nate Guenin,166
2.2321098494850804,8470687,Zack Stortini,98
2.3950356482703987,8469587,Tomas Plihal,42
2.085291787694745,8471958,Dan Girardi,196
2.123844731977819,8471276,David Krejci,161
2.2191708476366516,8472355,Rod Pelley,108
2.4874570900448902,8471793,Tomas Popperle,26
2.4615790863480327,8470698,Martin Lojek,27
2.3686295220491154,8469535,Drew Fata,42
2.0924214417744915,8469992,Sheldon Brookbank,170
2.0340639028254555,8469707,PA Parenteau,274
2.5666754687087403,8469489,Duncan Milroy,21
2.2825455505677317,8470113,John Zeiler,64
2.081330868761553,8470860,Jaroslav Halak,194
2.2144177449168208,8468113,Jeff Finger,89
2.2146818061790334,8471388,Patrick Kaleta,101
2.453657248481648,8471224,Lauri Tukonen,30
2.272775283865857,8471419,Mark Mancari,69
2.1008714021653025,8470760,Marc Methot,194
2.595722207552152,8469720,Shay Stephenson,17
2.0929495642989173,8470666,Daniel Carcillo,199
2.118563506733562,8471514,Rich Peverley,158
2.102719831000792,8471273,Brandon Dubinsky,179
2.4745180881964615,8471358,Bryan Young,34
2.113546342751518,8468626,David Koci,152
2.4827039873250594,8473644,Gabe Gauthier,28
2.128861895959863,8470920,David Clarkson,176
2.6664906258251913,8471911,Sebastien Bisaillon,19
2.2754158964879854,8473921,Joe Piskula,67
2.3704779508846054,8471713,Petr Kalus,47
2.2989173488249275,8468786,Riley Cote,69
2.097702667018748,8471677,Jack Johnson,182
2.5930815949300237,8473923,Darcy Campbell,18
2.242408238711381,8471692,Ryan Parent,80
2.174544494322683,8471238,Rob Schremp,107
2.148402429363612,8471254,Bryan Bickell,148
2.5571692632690786,8468529,Jonas Nordqvist,20
2.5460786902561394,8470744,Brady Murray,21
2.1082651175072615,8473541,Jonathan Bernier,205
2.111433852653816,8473972,Jonas Hiller,160
2.0499075785582255,8473646,Ryan Carter,229
2.0881964615790864,8471676,Bobby Ryan,186
2.12674940586216,8473422,Nick Foligno,170
2.0979667282809613,8471702,Matt Niskanen,192
2.4330604700290466,8473979,Jaroslav Hlinka,30
2.20411935569052,8473924,Cory Murphy,97
2.1087932400316873,8471686,Marc Staal,172
2.1811460258780038,8471697,Niclas Bergfors,136
2.248745709004489,8470634,Matt Smaby,91
2.1557961447055716,8471314,Mike Lundin,147
2.548455241616055,8470062,Tyler Weiman,18
2.139424346448376,8474141,Patrick Kane,159
2.2944283073673093,8473981,Magnus Johansson,59
2.0876683390546606,8471338,Torrey Mitchell,242
2.1209400580934776,8471699,Andrew Cogliano,189
2.102983892263005,8474040,Sam Gagner,246
2.3490889886453656,8473916,Steve Wagner,46
2.1167150778980726,8473446,Erik Johnson,177
2.0404013731185633,8471476,Daniel Winnik,308
2.141008714021653,8473526,Peter Mueller,143
2.1006073409030894,8471691,Martin Hanzal,212
2.331396884077106,8468647,Craig Weller,61
2.4457354106152627,8473635,Denis Tolpeko,32
2.0678637443886982,8471729,Kris Russell,252
2.123580670715606,8471766,Jared Boll,184
2.160021124900977,8473563,Nicklas Backstrom,136
2.2513863216266174,8470737,Brett Sterling,83
2.1925006601531556,8470828,Toby Enstrom,138
2.1906522313176655,8473412,Bryan Little,141
2.1198838130446265,8473473,Milan Lucic,184
2.1196197517824134,8471664,Mason Raymond,189
2.118827567995775,8470778,Drew Miller,152
2.2928439397940323,8473385,Ville Koistinen,62
2.5724848164774228,8469556,Dimitri Patzold,22
2.112490097702667,8470880,Brian Elliott,197
2.1148666490625825,8471679,Carey Price,156
2.0739371534195934,8471231,Kyle Chipchura,184
2.1687351465540003,8473536,James Sheppard,127
2.1338790599419064,8473604,Jonathan Toews,158
2.066543438077634,8474102,David Perron,253
2.3968840771058884,8470266,Tobias Stephan,40
2.5030367045154476,8473494,Petteri Wirtanen,22
2.172696065487193,8471715,Ondrej Pavelec,158
2.0509638236070766,8470147,Curtis McElhinney,219
2.0800105624504885,8471873,Anton Stralman,199
2.3353578030102984,8470648,Stefan Meyer,50
2.0953261156588328,8473482,Jiri Tlusty,189
2.180617903353578,8473426,Mike Weber,136
2.0810668074993397,8471311,Tyler Kennedy,196
2.179561658304727,8473504,Cal Clutterbuck,172
2.469500924214418,8471235,Lukas Kaspar,30
2.1322946923686295,8471682,Devin Setoguchi,202
2.630842355426459,8468597,Olli Malmivaara,18
2.14074465275944,8471498,Jannik Hansen,177
2.081330868761553,8470852,Matt Moulson,231
2.548191180353842,8471819,Matt Keetley,19
2.2086083971481383,8471246,Chris Bourque,86
2.1072088724584104,8471436,Matt Hunwick,228
2.1544758383945077,8469672,Aaron Voros,106
2.0562450488513333,8470854,Tanner Glass,250
2.166358595194085,8471695,Tuukka Rask,138
2.373910747293372,8470735,Greg Moore,43
2.592817533667811,8470643,Ivan Baranka,17
2.0472669659360974,8471371,Mike Brown,250
2.367309215738051,8471334,Alexander Nikulin,37
2.038024821758648,8471346,Kris Versteeg,275
2.170847636651703,8471352,Jake Dowell,123
2.171375759176129,8471743,Vladimir Sobotka,135
2.4304198574069185,8471408,Petri Kontiola,38
2.578558225508318,8470632,Tim Ramholt,18
2.237391074729337,8471753,T.J. Hensick,81
2.0678637443886982,8471703,Steve Downie,229
2.142329020332717,8470672,Ryan O'Byrne,136
2.185371006073409,8471734,Jonathan Quick,120
2.380512278848693,8471324,Liam Reddox,57
2.22181146025878,8468881,Jason Jaffray,82
2.192236598890943,8471859,Sergei Kostitsyn,111
2.326907842619488,8469569,Drew MacIntyre,65
2.1940850277264325,8471760,Cody Bass,112
2.466068127805651,8473973,Antti Pihlstrom,32
2.118827567995775,8471657,Cody McLeod,212
2.1597570636387644,8470877,David Jones,164
2.480327435965144,8469522,Brandon Nolan,24
2.1322946923686295,8471241,Mark Fistric,143
2.164246105096382,8469685,Andrew Murray,112
2.321890678637444,8469582,Colin Stuart,69
2.0691840506997625,8471681,Jack Skille,229
2.361499867969369,8471282,Casey Borer,46
2.6023237391074727,8470937,Kevin Doell,20
2.1444415104304198,8470187,Johnny Boychuk,163
2.2719831000792183,8470705,Corey Locke,64
2.2136255611301823,8472370,Jordan Hendry,83
2.29918141008714,8470625,Ryan Stone,61
2.092157380512279,8473544,Derick Brassard,229
2.336149986796937,8470101,Tim Conboy,50
2.1354634275151834,8471306,Thomas Greiss,175
2.467652495378928,8471763,Ilya Zubov,28
2.0815949300237655,8473962,Teddy Purcell,235
2.277792447847901,8469752,Pascal Pelletier,73
2.0720887245841033,8473574,Shawn Matthias,240
2.090573012939002,8470647,B.J. Crombeen,178
2.5458146289939267,8470663,Jonathan Filewich,23
2.3071032479535254,8470383,Chris Minard,65
2.23950356482704,8470986,Darryl Boyce,82
2.272247161341431,8471399,Robbie Earl,68
2.0702402957486137,8470619,Brian Boyle,226
2.513071032479535,8471906,David Brine,26
2.288618959598627,8471261,Dane Byers,60
2.6580406654343807,8470681,Zack Fitzgerald,17
2.5349881172432003,8467137,Pete Vandermeer,23
2.381568523897544,8473904,Kyle Greentree,37
2.0953261156588328,8471274,Alex Goligoski,208
2.64959070504357,8470208,Joey Mormina,16
2.110641668867177,8471279,Sami Lepisto,132
2.512014787430684,8470821,Joe Jensen,24
2.392923158172696,8471641,Mike Iggulden,46
2.1716398204383416,8473512,Claude Giroux,142
2.5225772379191973,8470751,Chris Beckford-Tseu,19
2.2529706891998944,8470318,Jonathan Ericsson,95
2.0422498019540534,8473682,Andrew Ebbett,213
2.319778188539741,8473975,Erik Ersberg,49
2.218906786374439,8471752,Marc-Andre Gragnani,114
2.302350145233694,8471011,Garrett Stafford,57
2.139688407710589,8471769,Niklas Hjalmarsson,164
2.2944283073673093,8473525,Theo Peckham,79
2.2524425666754686,8471794,Darren Helm,100
2.3018220227092687,8471668,Mattias Ritola,67
2.579878531819382,8472334,Alex Foster,19
2.133086876155268,8473449,Kyle Okposo,184
2.4605228412991815,8471223,Boris Valabik,44
2.191708476366517,8471683,Brian Lee,110
2.4380776340110906,8471305,Daniel Lacosta,35
2.160549247425403,8472262,Clay Wilson,120
2.1864272511222604,8474498,Jesse Winchester,108
2.3662529706892,8471433,Daniel Taylor,56
2.5811988381304465,8471778,Jordan Lavallee-Smotherman,25
2.147346184314761,8474519,Jack Hillen,179
2.064959070504357,8471851,Matt D'Agostini,192
2.567731713757592,8471259,Adam Pineault,20
2.250066015315553,8471716,Justin Abdelkader,101
2.125165038288883,8474068,Kyle Turris,187
2.4837602323739105,8469629,Tom Cavanagh,31
2.5381568523897546,8471281,Adam Berti,21
2.315289147082123,8471457,Gregory Stewart,43
2.1439133879059944,8473542,Tom Sestito,165
2.1003432796408767,8471232,Lauri Korpikoski,211
2.3501452336942172,8471704,Vladimir Mihalik,50
2.519672564034856,8471359,Janne Niskala,20
2.1732241880116185,8474564,Steven Stamkos,151
2.174016371798257,8470713,Paul Bissonnette,106
2.456825983628202,8467531,Jonas Frogren,34
2.144177449168207,8470750,John Mitchell,180
2.1116979139160286,8474568,Luke Schenn,223
2.1787694745180883,8473579,Nikolay Kulemin,158
2.1848428835489835,8471218,Blake Wheeler,150
2.115658832849221,8471385,Adam Pardy,202
2.318193820966464,8474557,Anssi Salmela,80
2.1227884869289677,8474091,Brandon Sutter,198
2.1819382096646422,8474567,Zach Bogosian,172
2.192236598890943,8471323,Ryan Jones,128
2.153947715870082,8471887,Patric Hornqvist,173
2.175864800633747,8473534,Patrik Berglund,122
2.213889622392395,8470871,Chris Porter,114
2.1832585159757065,8474565,Alex Pietrangelo,119
2.1629257987853183,8471698,T.J. Oshie,136
2.1325587536308426,8474161,Jakub Voracek,158
2.0945339318721943,8471707,James Neal,208
2.4254026934248745,8472248,Jared Ross,38
2.102719831000792,8474579,Luca Sbisa,205
2.0844996039081067,8473564,Michael Frolik,204
2.2146818061790334,8474121,Colton Gillies,110
2.141272775283866,8473432,Derek Dorsett,183
2.1196197517824134,8471331,Kevin Porter,180
2.2793768154211778,8474588,Viktor Tikhonov,93
2.1153947715870083,8474571,Mikkel Boedker,182
2.385001320306311,8474114,Oscar Moller,44
2.2080802746237125,8474563,Drew Doughty,113
2.1602851861631898,8474190,Wayne Simmonds,148
2.255083179297597,8470136,Nathan Oystrick,85
2.3274359651439136,8474552,Fabian Brunnstrom,71
2.157116451016636,8470896,Steve MacIntyre,114
2.2764721415368365,8474566,Nikita Filatov,66
2.331396884077106,8470074,Jeff Deslauriers,61
2.170847636651703,8471521,Brad Staubitz,143
2.179033535780301,8474576,Zach Boychuk,135
2.53868497491418,8470635,Petr Vrana,28
2.3129125957222074,8468846,Tyler Sloan,54
