distance,id,fullName,degree,distance_rank
3.1650019457776626,8467579,Trevor Gillies,74,4087.0
3.0492930341159683,8467486,Mike Morrison,78,3121.0
3.2354390971591647,8468706,Brian Eklund,18,4648.0
3.17953041899079,8468566,Yanick Lehoux,35,4217.5
2.934492152030095,8469770,Dennis Wideman,263,2114.5
3.0827604099104944,8470005,Mark Cullen,76,3432.5
3.1529381242703334,8470813,Gerald Coleman,21,3996.0
3.038785834738617,8470624,Danny Richmond,93,3024.5
3.256972369957193,8470199,Barry Tallackson,48,4779.0
3.1482682578803995,8469805,Gregory Jacina,35,3961.5
2.9734077052795436,8470654,Maxim Lapierre,216,2461.5
3.0804254767155275,8471221,Alexandre Picard,78,3415.0
2.9521338695031782,8471217,Andrew Ladd,231,2266.0
2.9840446231677262,8468604,Michel Ouellet,99,2547.5
3.073031521598132,8470651,Jeremy Colliton,93,3349.0
3.0478661304968218,8470170,Ole-Kristian Tollefsen,96,3111.5
3.0579841743416787,8471208,Dustin Penner,201,3207.0
3.328447269425347,8470574,Grant Stevenson,32,5162.0
3.166169412375146,8467700,Eric Healey,19,4101.0
2.865222467246076,8470724,Kyle Quincey,253,1613.0
3.0827604099104944,8470088,Matt Jones,69,3432.5
3.010247762355688,8470755,Brad Richardson,219,2769.5
2.9376053962900506,8470657,Jimmy Howard,106,2138.0
3.2764301465819172,8466230,Ryan Ready,28,4885.0
3.2905694642625503,8468745,Jean-Philippe Cote,50,4953.5
2.9648462835646647,8470280,Ben Eager,217,2389.5
2.9645868465430016,8470620,Jeff Tambellini,153,2387.0
3.0338565313270203,8470603,Andrei Kostitsyn,120,2973.0
3.0608379815799713,8470882,Geoff Platt,66,3245.5
2.996627318718381,8468636,Greg Zanon,176,2658.5
3.3355817875210794,8469750,Robert McVicar,19,5198.5
3.020106369178882,8468114,Douglas Murray,165,2855.5
2.94707484758075,8469501,Chris Thorburn,213,2218.5
3.152289531716176,8470772,Chris Holt,38,3991.0
3.021403554287197,8470630,Kevin Klein,168,2868.5
3.0022052146841354,8470774,Bruno Gervais,182,2705.0
3.0322999091970426,8469812,Chad LaRose,110,2956.0
3.229731482682579,8471915,Vitaly Kolesnik,23,4609.5
3.0485147230509795,8469844,Josh Gratton,94,3115.0
3.053962900505902,8471469,Pekka Rinne,148,3169.5
2.896873783888961,8470047,Valtteri Filppula,179,1835.0
3.115968348683357,8469479,Jason Bacashihua,50,3687.0
3.209106239460371,8470055,Petr Kanko,26,4453.0
3.3546504086133093,8469994,Rob Collins,30,5289.0
2.8894798287715657,8470065,Ryan Craig,153,1788.5
3.0299649760020757,8470076,Darren Reid,56,2936.5
2.996108444675055,8470611,Eric Fehr,234,2653.5
2.9527824620573355,8469598,Kevin Bieksa,220,2273.5
3.115190037618368,8471628,Rick Rypien,74,3684.0
3.0221818653521857,8470230,Daniel Paille,157,2872.0
3.1074069269684785,8470305,Rob Globke,49,3612.0
2.943702166299131,8469474,Colby Armstrong,177,2192.0
3.1670774419509664,8470346,Richie Regehr,35,4116.0
3.0854844986379555,8470121,Matt Greene,140,3460.0
3.009858606823194,8469483,David Steckel,174,2766.0
3.2445193929173692,8471524,Matt Ryan,26,4703.0
2.9505772473732,8470358,Alexandre Burrows,236,2244.0
3.3826696069529123,8469807,Jonathan Ferland,21,5434.0
3.0185497470489038,8470642,Shea Weber,192,2838.5
3.1704501232325852,8469653,Jordan Sigalet,19,4142.0
3.104682838241017,8469509,Nathan Paetsch,74,3595.0
3.071215462446491,8470295,Connor James,55,3328.0
2.996367881696718,8471372,Ben Walter,95,2656.5
3.0307432870670645,8469475,Jiri Novotny,107,2944.5
3.268517317421196,8467954,Adam Hauser,19,4841.0
3.1346478142430927,8469564,Richard Petiot,62,3854.5
